episode,total_reward
795,23485.8619675
796,23479.1476691
797,23487.219205
798,23464.8610451
799,23475.6679533
800,23489.0864782
801,23474.4072397
802,23484.4775906
803,23476.8442137
804,23476.44723
805,23428.3721625
806,23472.1963498
807,23418.0090085
808,23487.2562007
809,23479.4582551
810,23485.4916916
811,23475.4936279
812,23483.050378
813,23486.4270828
814,23440.9219171
815,3829.23762863
816,3829.35366943
817,23158.9028192
818,2460.8950648
819,2460.91362995
820,2187.80664249
821,3829.35763291
822,3008.08383241
823,2734.76943602
824,3281.67287531
825,2735.01112024
826,2734.71727796
827,2735.01028327
828,3008.24949016
829,2734.97103039
830,2735.06491884
831,3008.37980053
832,3281.23211866
833,3281.06828927
834,9571.03147791
835,2187.89038485
836,2461.056007
837,2460.9584083
838,2460.92007651
839,2734.84165738
840,3008.13218105
841,3008.12895701
842,3007.71606081
843,14200.1264429
844,2734.63508254
845,23478.168904
846,23485.7340553
847,23474.0447966
848,23420.9175321
849,23485.8056361
850,23449.0249394
851,23462.9591641
852,23480.2782991
853,23462.3930708
854,23487.5668108
855,23482.3139463
856,23465.5362294
857,23490.3211396
858,23483.0354422
859,23478.6789462
860,23469.8933481
861,23490.5235108
862,23422.9327653
863,23484.8601223
864,23485.1107128
865,23494.2777216
866,23487.9690275
867,23482.3030691
868,23491.3565301
869,23478.7045876
870,23489.2981524
871,23493.3613753
872,23447.5341975
873,23475.0415422
874,23488.6742583
875,23494.9604648
876,23485.9434152
877,23488.5097427
878,23449.918569
879,23485.9341907
880,23492.2732871
881,23435.0494624
882,23485.0323185
883,23484.9853437
884,23420.819846
885,23493.3813242
886,23421.2537928
887,23457.079516
888,23474.4299076
889,23485.7524505
890,23477.2203252
891,23485.3543455
892,23425.5694349
893,23491.3809749
894,23481.9202503
895,23479.4580009
896,23463.5978634
897,23486.7381739
898,23482.9268161
899,23385.9169824
900,23479.4009488
901,23466.7338638
902,23482.2899128
903,23426.169453
904,23493.3485442
905,2461.55395138
906,2461.56184445
907,2461.58965842
908,2461.51655517
909,2461.51527841
910,2461.54992032
911,2461.54577275
912,2461.54227496
913,2461.53185089
914,2461.52581588
915,2461.57473029
916,2461.58111666
917,2461.56695657
918,2461.53174179
919,2461.51452593
920,2461.56749253
921,2734.67031871
922,2188.01531784
923,22391.6269455
924,23468.645477
925,2461.53751001
926,2734.79069484
927,2461.62316692
928,2461.61232353
929,2461.61203437
930,3007.98838155
931,2461.68369829
932,2461.65727495
933,4101.8122528
934,3555.33166948
935,3282.34204624
936,3555.58125543
937,3282.29666672
938,3282.2627695
939,3555.47674279
940,3555.42730834
941,3282.31409251
942,2734.73650273
943,2733.88764432
944,2734.14507115
945,1640.07097303
946,2734.76224321
947,3282.31459225
948,3282.27982092
949,3282.44305033
950,3282.3827554
951,3282.23756492
952,3282.06354612
953,3282.50715665
954,3282.3591961
955,3282.10719191
956,3282.23497106
957,3282.46298483
958,3282.03269843
959,3282.35873416
960,3282.06188187
961,3282.42992513
962,3282.06328893
963,3282.08264336
964,3282.02063612
965,3282.36615253
966,3282.18315155
967,3282.23307569
968,3282.57631548
969,3282.20195282
970,3282.32598091
971,3282.30366
972,3282.08992525
973,3281.79334954
974,2461.07480042
975,2186.93923173
976,1913.42570087
977,1913.34370396
978,1913.25890465
979,1913.26686604
980,1913.39110271
981,1913.30198707
982,1913.27099912
983,1913.31218195
984,1913.29710824
985,1913.2660668
986,1913.24435385
987,1913.25007942
988,1913.26671162
989,1913.23168602
990,2734.85243272
991,3008.18233781
992,3008.00442933
993,3008.04105659
994,3008.50361453
995,3008.56866004
996,3008.19085762
997,1913.31198681
998,1913.62548797
999,1913.44791552
1000,2733.76195242
